activity_id,institution_id,source_id,experiment_id,frequency,modeling_realm,table_id,member_id,grid_label,variable_id,temporal_subset,chunk_freq,grid_label,platform,dimensions,cell_methods,path
dev,,,c96L65_am5f3b1r0_pdclim1850F,3hr,atmos_cmip,,n/a,,rlut,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/3hr/1yr/atmos_cmip.0011010100-0011123123.rlut.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,sfcWind,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00040101-00041231.sfcWind.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,hurs,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00020101-00021231.hurs.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,tasmax,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00040101-00041231.tasmax.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,huss,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00020101-00021231.huss.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,tasmin,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00040101-00041231.tasmin.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,pr,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00020101-00021231.pr.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,tas,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00040101-00041231.tas.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,psl,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00020101-00021231.psl.nc
dev,,,c96L65_am5f3b1r0_pdclim1850F,daily,atmos_cmip,,n/a,,ua10,,,,,,,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/atmos_cmip/ts/daily/1yr/atmos_cmip.00040101-00041231.ua10.nc
