activity_id,branch_method,branch_time_in_child,branch_time_in_parent,experiment,experiment_id,frequency,grid,grid_label,institution_id,nominal_resolution,parent_activity_id,parent_experiment_id,parent_source_id,parent_time_units,parent_variant_label,product,realm,source_id,source_type,sub_experiment,sub_experiment_id,table_id,variable_id,variant_label,member_id,standard_name,long_name,units,vertical_levels,init_year,start_time,end_time,time_range,path,version
HighResMIP,none provided,711750.0,11315.0,coupled historical 1950-2014,hist-1950,mon,native gx1v7 displaced pole grid (2400x3600 latxlon),gn,NCAR,25 km,CMIP,control-1950,CESM1-CAM5-SE-HR,days since 1950-01-01 00:00:00,r1i1p1f1,model-output,ocean,CESM1-CAM5-SE-HR,AOGCM,none,none,Omon,zos,r1i1p1f1,r1i1p1f1,sea_surface_height_above_geoid,Sea Surface Height Above Geoid,m,1,,1950-01-15 00:00:00,2014-12-14 00:00:00,1950-01-15 00:00:00-2014-12-14 00:00:00,/glade/work/jshin/mdtf/inputdata/model/WBC_var/CESM1-CAM5-SE-HR/zos_Omon_CESM1-CAM5-SE-HR_hist-1950_r1i1p1f1_r360x180_195001-201412.nc,v0
HighResMIP,none provided,711750.0,11315.0,coupled historical 1950-2005,hist-1950,mon,native gx1v7 displaced pole grid (240x360 latxlon),gn,NCAR,100 km,CMIP,control-1950,CESM1-CAM5-SE-HR,days since 1950-01-01 00:00:00,r1i1p1f1,model-output,ocean,CESM1-CAM5-SE-LR,AOGCM,none,none,Omon,zos,r1i1p1f1,r1i1p1f1,sea_surface_height_above_geoid,Sea Surface Height Above Geoid,m,1,,1950-01-16 00:00:00,2006-03-01 00:00:00,1950-01-16 00:00:00-2006-03-01 00:00:00,/glade/work/jshin/mdtf/inputdata/model/WBC_var/CESM1-CAM5-SE-LR/zos_Omon_CESM1-CAM5-SE-LR_hist-1950_r1i1p1f1_r360x180_195001-200512.nc,v0
HighResMIP,none provided,0.0,0.0,coupled historical 1950-2014,hist-1950,mon,ORCA025,gn,EC-Earth-Consortium,25 km,HighResMIP,spinup-1950,EC-Earth3P-HR,days since 1950-1-1,r1i1p1f1,model-output,ocean,EC-Earth3P-HR,AOGCM,none,none,Omon,zos,r1i1p2f1,r1i1p2f1,sea_surface_height_above_geoid,Sea Surface Height Above Geoid,m,1,,1950-01-16 12:00:00,2014-12-16 12:00:00,1950-01-16 12:00:00-2014-12-16 12:00:00,/glade/work/jshin/mdtf/inputdata/model/WBC_var/EC-Earth3P-HR/zos_Omon_EC-Earth3P-HR_hist-1950_r1i1p2f1_r360x180_195001-201412.nc,v0
HighResMIP,none provided,0.0,0.0,coupled historical 1950-2014,hist-1950,mon,ORCA05,gn,EC-Earth-Consortium,100 km,HighResMIP,spinup-1950,EC-Earth3P,days since 1950-1-1,r1i1p1f1,model-output,ocean,EC-Earth3P,AOGCM,none,none,Omon,zos,r1i1p2f1,r1i1p2f1,sea_surface_height_above_geoid,Sea Surface Height Above Geoid,m,1,,1950-01-16 12:00:00,2014-12-16 12:00:00,1950-01-16 12:00:00-2014-12-16 12:00:00,/glade/work/jshin/mdtf/inputdata/model/WBC_var/EC-Earth3P/zos_Omon_EC-Earth3P_hist-1950_r1i1p2f1_r360x180_195001-201412.nc,v0
HighResMIP,Initialized directly from parent restart files,0.0,18262.0,coupled historical 1950-2014,hist-1950,mon,"ORCA025: tripolar, 1442x1021; 75 levels; top grid cell 1m",gn,ECMWF,25 km,HighResMIP,spinup-1950,ECMWF-IFS-HR,days since 1950-01-01 00:00:00,r1i1p1f1,model-output,ocean,ECMWF-IFS-HR,AOGCM,none,none,Omon,zos,r1i1p1f1,r1i1p1f1,sea_surface_height_above_geoid,Sea Surface Height Above Geoid,m,1,,1950-01-16 12:00:00,2014-12-16 12:00:00,1950-01-16 12:00:00-2014-12-16 12:00:00,/glade/work/jshin/mdtf/inputdata/model/WBC_var/ECMWF-IFS-HR/zos_Omon_ECMWF-IFS-HR_hist-1950_r1i1p1f1_r360x180_195001-201412.nc,v0
HighResMIP,Initialized directly from parent restart files.,0.0,18262.0,coupled historical 1950-2014,hist-1950,mon,"ORCA1: tripolar, 362x292; 75 levels; top grid cell 1m",gn,ECMWF,100 km,HighResMIP,spinup-1950,ECMWF-IFS-LR,days since 1950-01-01 00:00:00,r1i1p1f1,model-output,ocean,ECMWF-IFS-LR,AOGCM,none,none,Omon,zos,r1i1p1f1,r1i1p1f1,sea_surface_height_above_geoid,Sea Surface Height Above Geoid,m,1,,1950-01-16 12:00:00,2014-12-16 12:00:00,1950-01-16 12:00:00-2014-12-16 12:00:00,/glade/work/jshin/mdtf/inputdata/model/WBC_var/ECMWF-IFS-LR/zos_Omon_ECMWF-IFS-LR_hist-1950_r1i1p1f1_r360x180_195001-201412.nc,v0
HighResMIP,"fixed historical forcing from 1950 was applied for a 30 year spin-up period, after which the historically-evolving forcing was imposed.",0.0,10800.0,coupled historical 1950-2014,hist-1950,mon,N512,gn,NERC,10 km,HighResMIP,spinup-1950,HadGEM3-GC31-MH,days since 1950-01-01,r1i1p1f1,model-output,ocean,HadGEM3-GC31-HH,AOGCM,none,none,Omon,zos,r1i1p1f1,r1i1p1f1,sea_surface_height_above_geoid,Sea Surface Height Above Geoid,m,1,,1950-01-16 00:00:00,2014-12-16 00:00:00,1950-01-16 00:00:00-2014-12-16 00:00:00,/glade/work/jshin/mdtf/inputdata/model/WBC_var/HadGEM3-GC31-HH/zos_Omon_HadGEM3-GC31-HH_hist-1950_r1i1p1f1_r360x180_195001-201412.nc,v0
HighResMIP,"fixed historical forcing from 1950 was applied for a 30 year spin-up period, after which the historically-evolving forcing was imposed.",0.0,10800.0,coupled historical 1950-2014,hist-1950,mon,N96,gn,MOHC,250 km,HighResMIP,spinup-1950,HadGEM3-GC31-LL,days since 1950-01-01,r1i1p1f1,model-output,ocean,HadGEM3-GC31-LL,AOGCM,none,none,Omon,zos,r1i1p1f1,r1i1p1f1,sea_surface_height_above_geoid,Sea Surface Height Above Geoid,m,1,,1950-01-16 00:00:00,2014-12-16 00:00:00,1950-01-16 00:00:00-2014-12-16 00:00:00,/glade/work/jshin/mdtf/inputdata/model/WBC_var/HadGEM3-GC31-LL/zos_Omon_HadGEM3-GC31-LL_hist-1950_r1i1p1f1_r360x180_195001-201412.nc,v0
