GFDL_varname,CMOR_varname,standard_name,long_name,modeling_realm,cmor_units
msftmrhozba,msftmrhozba,ocean_meridional_overturning_mass_streamfunction_due_to_bolus_advection,Ocean Meridional Overturning Mass Streamfunction due to Bolus Advection,ocean,kg s-1
calc,calc,mole_concentration_of_calcite_expressed_as_carbon_in_sea_water,Calcite Concentration at Surface,ocean_biochem,mol m-3	
hfssi,hfssi,surface_upward_sensible_heat_flux,Surface Upward Sensible Heat Flux over Sea Ice,ocean & ice,W m-2
parasolRefl,parasolRefl,toa_bidirectional_reflectance,PARASOL Reflectance,atmos,1
aredi,diftrelo,ocean_tracer_epineutral_laplacian_diffusivity,Ocean Tracer Epineutral Laplacian Diffusivity,ocean,m2 s-1
conv_cld_top,cct,air_pressure_at_convective_cloud_top,Air Pressure at Convective Cloud Top,atmos,Pa
hfyba,hfyba,ocean_heat_y_transport_due_to_bolus_advection,Ocean Heat Y Transport due to Bolus Advection,ocean,W
v,vo,sea_water_y_velocity,Sea Water Y Velocity,ocean,m s-1
omega,wap,lagrangian_tendency_of_air_pressure,omega (=dp/dt),atmos,Pa s-1
sftlf,sftlf,land_area_fraction,Land Area Fraction,atmos,%
olr_clr,rlutcsClim,toa_outgoing_longwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Longwave Radiation,atmos,W m-2
netrad_toa,rtoa,toa_net_downward_radiative_flux,TOA Net Downward Radiation,atmos,W m-2
om_wet_dep,wetpoa,tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of Dry Aerosol Primary Organic Matter,aerosol,kg m-2 s-1
hfxdiff,hfxdiff,ocean_heat_x_transport_due_to_diffusion,Ocean Heat X Transport due to Diffusion,ocean,W
mcd,mcd,atmosphere_downdraft_convective_mass_flux,Downdraught Convective Mass Flux,atmos,kg m-2 s-1
ageice,ageice,age_of_sea_ice,Age of Sea Ice,ocean & ice,years
areacello,areacello,cell_area,Ocean Grid-Cell Area,ocean,m-2
phyp,phyp,mole_concentration_of_phytoplankton_expressed_as_phosphorus_in_sea_water,Phytoplankton Phosphorus Concentration,ocean_biochem,mol m-3
totNH4_wet_dep,wetnh4,tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of NH4+NH3,aerosol,kg m-2 s-1
