GFDL_varname,CMOR_varname,standard_name,long_name,modeling_realm,cmor_units
prec_conv,prc,convective_precipitation_flux,Convective Precipitation,atmos,kg m-2 s-1
expcalc,expcalc,sinking_mole_flux_of_calcite_expressed_as_carbon_in_sea_water,Sinking Calcite Flux,ocean_biochem,mol m-2 s-1
conv_freq,ci,convection_time_fraction,Fraction of Time Convection Occurs,atmos,1
cltcalipso,cltcalipso,cloud_area_fraction,CALIPSO Total Cloud Fraction,atmos,%
ps,ps,surface_air_pressure,Surface Air Pressure,atmos,Pa
tauu,tauuClim,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,atmos,Pa
pme_river,wfonocorr,water_flux_into_sea_water_without_flux_correction,Water Flux into Sea Water Without Flux Correction,ocean,kg m-2 s-1
cLeaf,cLeaf,leaf_carbon_content,Carbon Mass in Leaves,land,kg m-2
precip,pr,precipitation_flux,Precipitation,atmos,kg m-2 s-1
so2_wet_dep,wetso2,tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_wet_deposition,Wet Deposition Rate of SO2,aerosol,kg m-2 s-1
sconcbc,sconcbc,mass_concentration_of_black_carbon_dry_aerosol_in_air,Surface Concentration of Black Carbon Aerosol,aerosol,kg m-3
thetaoga,thetaoga,sea_water_potential_temperature,Global Average Sea Water Potential Temperature,ocean,K
WVP,prwClim,atmosphere_water_vapor_content,Water Vapor Path,atmos,kg m-2
tnt2,tnt,tendency_of_air_temperature,Tendency of Air Temperature,atmos,K s-1
tauu,tauu,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,atmos,Pa
t_ref,tas,air_temperature,Air Temperature,atmos,K
hfxba,hfxba,ocean_heat_x_transport_due_to_bolus_advection,Ocean Heat X Transport due to Bolus Advection,ocean,W
q_ref,huss,specific_humidity,Near-Surface Specific Humidity,atmos,1
areacella,areacella,cell_area,Atmosphere Grid-Cell Area,atmosphere & land,m2
pdi,pdi,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_diatoms,Diatom Primary Carbon Production,ocean_biochem,mol m-3 s-1
ialb,ialb,bare_sea_ice_albedo,Bare Sea Ice Albedo,ocean & ice,1
dispkexyfo,dispkexyfo,ocean_kinetic_energy_dissipation_per_unit_area_due_to_xy_friction,Ocean Kinetic Energy Dissipation Per Unit Area due to XY Friction,ocean,W m-2
total_mass_seawater,masso,sea_water_mass,Sea Water Mass,ocean,kg
ps,psClim,surface_air_pressure,Surface Air Pressure,atmos,Pa
agessc,agessc,sea_water_age_since_surface_contact,Sea Water Age Since Surface Contact,ocean,yr
hfx,hfx,ocean_heat_x_transport,Ocean Heat X Transport,ocean,W
qo3v,tro3Clim,mole_fraction_of_ozone_in_air,Mole Fraction of O3,atmos,1e-9
sos,sos,sea_surface_salinity,Sea Surface Salinity,ocean,psu
clmcalipso,clmcalipso,cloud_area_fraction_in_atmosphere_layer,CALIPSO Mid Level Cloud Fraction,atmos,%
pon,pon,mole_concentration_of_particulate_organic_matter_expressed_as_nitrogen_in_sea_water,Particulate Organic Nitrogen Concentration at Surface,ocean_biochem,mol m-3
swup_toa,rsut,toa_outgoing_shortwave_flux,TOA Outgoing Shortwave Radiation,atmos,W m-2
bc_wet_dep,wetbc,tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of Black Carbon Aerosol Mass,aerosol,kg m-2 s-1
po4,po4,mole_concentration_of_phosphate_in_sea_water,Dissolved Phosphate Concentration at Surface,ocean_biochem,mol m-3
evap,evap,water_evaporation_flux,Water Evaporation Flux from Sea Ice,ocean & ice,kg m-2 s-1
calc,calc,mole_concentration_of_calcite_expressed_as_carbon_in_sea_water,Calcite Concentration,ocean_biochem,mol m-3
dissoc,dissoc,mole_concentration_of_dissolved_organic_carbon_in_sea_water,Dissolved Organic Carbon Concentration,ocean_biochem,mol m-3
dem_s,dems,stratiform_cloud_longwave_emissivity,Stratiform Cloud Emissivity,atmos,1
sst,tos,surface_temperature,Sea Surface Temperature,ocean,K
chldiaz,chldiaz,mass_concentration_of_diazotrophs_expressed_as_chlorophyll_in_sea_water,"Mass Concentration of Diazotrophs expressed as Chlorophyll in Sea Water
",ocean_biochem,kg m-3
sconcpoa,sconcpoa,mass_concentration_of_primary_particulate_organic_matter_dry_aerosol_in_air,Surface Concentration of Dry Aerosol Primary Organic Matter,atmos,kg m-3
Gmwork,tnkebto,tendency_of_ocean_eddy_kinetic_energy_content_due_to_bolus_transport,Tendency of Ocean Eddy Kinetic Energy Content due to Bolus Transport,ocean,W m-2
snomelt,snomelt,snow_melt_rate,Snow Melt Rate,ocean & ice,kg m-2 s-1
DMS_ddep_cmip,drydms,tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_dry_deposition,Dry Deposition Rate of DMS,aerosol,kg m-2 s-1
ph,ph,sea_water_ph_reported_on_total_scale,pH,ocean_biochem,1
transiy,transiy,sea_ice_y_transport,Northward sea ice transport,ocean & ice,kg s-1
SOA_wet_dep,wetsoa,tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of Dry Aerosol Secondary Organic Matter,aerosol,kg m-2 s-1
SO2_emis_cmip2,emiso2,tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_emission,Total Emission Rate of SO2,aerosol,kg m-2 s-1
visc_cbu,difvmo,ocean_vertical_momentum_diffusivity,Ocean Vertical Momentum Diffusivity,ocean,m2 s-1
clc,clc,convective_cloud_area_fraction_in_atmosphere_layer,Convective Cloud Area Fraction,atmos,%
pbot_t,pbo,sea_water_pressure_at_sea_floor,Sea Water Pressure at Sea floor,ocean,dbar
difvho,difvho,ocean_vertical_heat_diffusivity,Ocean Vertical Heat Diffusivity,ocean,m2 s-1
c3PftFrac,c3PftFrac,area_fraction,Total C3 PFT Cover Fraction,land,%
sftof,sftof,sea_area_fraction,Sea Area Fraction,ocean,%
total_volume_seawater,volo,sea_water_volume,Sea Water Volume,ocean,m3
concso4,concso4,mass_concentration_of_sulfate_dry_aerosol_in_air,Concentration of SO4,aerosol,kg m-3
talk,talk,sea_water_alkalinity_expressed_as_mole_equivalent,Total Alkalinity at Surface,ocean_biochem,mol m-3	
pr,pr,rainfall_flux,Surface Rainfall Rate into the Sea Ice Portion of the Grid Cell,ocean & ice,kg m-2 s-1
mrros,mrrosClim,surface_runoff_flux,Surface Runoff,land,kg m-2 s-1
nh4,nh4,mole_concentration_of_ammonium_in_sea_water,Dissolved Ammonium Concentration,ocean_biochem,mol m-3
tasmin,tasminClim,air_temperature,Daily Minimum Near-Surface Air Temperature,atmos,K
cld_amt_2d,cltClim,cloud_area_fraction,Total Cloud Fraction,atmos,
phypmisc,phypmisc,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_miscellaneous_phytoplankton,Other Phytoplankton Carbon Production,ocean_biochem,mol m-3 s-1
intparag,intparag,tendency_of_ocean_mole_content_of_aragonite_expressed_as_carbon_due_to_biological_production,Aragonite Production,ocean_biochem,mol m-2 s-1
tos_atm,tos,sea_surface_temperature,Sea Surface Temperature,ocean,K
fl_lssnow,prlsns,large_scale_snowfall_flux,Stratiform Snowfall Flux,atmos,kg m-2 s-1
evspsblveg,evspsblveg,water_evaporation_flux_from_canopy,Evaporation from Canopy,land,kg m-2 s-1
clcalipso_sat,clcalipso,cloud_area_fraction_in_atmosphere_layer,CALIPSO Cloud Fraction,atmos,%
fFire,fFire,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fires_excluding_anthropogenic_land_use_change,Carbon Mass Flux into Atmosphere due to CO2 Emission from Fire,land,kg m-2 s-1
tran,tranClim,transpiration_flux,Transpiration,land,kg m-2 s-1
rh_ref_cmip_min,rhsmin,relative_humidity,Surface Daily Minimum Relative Humidity,atmos,%
sic,sic,sea_ice_area_fraction,Sea Ice Area Fraction,ocean & ice,%
dust_col,loaddust,atmosphere_mass_content_of_dust_dry_aerosol,Load of Dust,atmos,kg m-2
dht,thkcello,cell_thickness,Ocean Model Cell Thickness,land,m
tau_x,tauuo,surface_downward_x_stress,Surface Downward X Stress,ocean & ice,N m-2
msftbarot,msftbarot,ocean_barotropic_mass_streamfunction,Streamfunction,ocean,kg s-1
fgo2,fgo2,surface_downward_mole_flux_of_molecular_oxygen,Surface Downward O2 Flux,ocean_biochem,mol m-2 s-1
rh_ref_cmip,rhs,relative_humidity,Near-Surface Relative Humidity,atmos,%
zooc,zooc,mole_concentration_of_zooplankton_expressed_as_carbon_in_sea_water,Zooplankton Carbon Concentration at Surface,ocean_biochem,mol m-3
o2min,o2min,mole_concentration_of_molecular_oxygen_in_sea_water_at_shallowest_local_minimum_in_vertical_profile,Oxygen Minimum Concentration,ocean_biochem,mol m-3
emipoav2,emipoa,tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_net_chemical_production,Emission Rate of Dry Aerosol Primary Organic Matter,aerosol,kg m-2 s-1
dissoc,dissoc,mole_concentration_of_dissolved_organic_carbon_in_sea_water,Dissolved Organic Carbon Concentration at Surface,ocean_biochem,mol m-3
omldamax,omldamax,ocean_mixed_layer_thickness_defined_by_mixing_scheme,Daily Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme,ocean,m
bddtdic,bddtdic,tendency_of_mole_concentration_of_dissolved_inorganic_carbon_in_sea_water_due_to_biological_processes,Rate of Change of Dissolved Inorganic Carbon due to Biological Activity,ocean_biochem,mol m-3 s-1
phydiaz,phydiaz,mole_concentration_of_diazotrophs_expressed_as_carbon_in_sea_water,"Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water
",ocean_biochem,mol m-3
wmo,wmo,upward_ocean_mass_transport,Upward Ocean Mass Transport,ocean,kg s-1
phymisc,phymisc,mole_concentration_of_miscellaneous_phytoplankton_expressed_as_carbon_in_sea_water,Mole Concentration of Miscellaneous Phytoplankton expressed as Carbon in Sea Water at Surface,ocean_biochem,mol m-3
strocny,strocny,upward_y_stress_at_sea_ice_base,Northward Ocean Stress On Sea Ice,ocean & ice,N m-2
sphum,hus,specific_humidity,Specific Humidity,atmos,1
cfadLidarsr532,cfadLidarsr532,histogram_of_backscattering_ratio_over_height_above_reference_ellipsoid,CALIPSO Scattering Ratio,atmos,1
intpp,intpp,net_primary_mole_productivity_of_carbon_by_phytoplankton,Primary Organic Carbon Production by All Types of Phytoplankton,ocean_biochem,mol m-2 s-1
swdn_tot_dif,rsdsdiff,surface_diffuse_downwelling_shortwave_flux_in_air,Surface Diffuse Downwelling Shortwave Radiation,atmos,W m-2
umo,umo,ocean_mass_x_transport,Ocean Mass X Transport,ocean,kg s-1
zg,zg,geopotential_height,Geopotential Height,atmos,m
vcomp,vaClim,northward_wind,Northward Wind,atmos,m s-1
temp,taClim,air_temperature,Temperature,atmos,K
rlds,rlds,surface_net_downward_longwave_flux,Surface Net Downward Longwave Radiation,ocean,W m-2
rsucs,rsucs,upwelling_shortwave_flux_in_air_assuming_clear_sky,Upwelling Clear-Sky Shortwave Radiation,atmos,W m-2
IWP_all_clouds,cliviClim,atmosphere_cloud_ice_content,Ice Water Path,atmos,kg m-2
rh_cmip,hurClim,relative_humidity,Relative Humidity,atmos,%
thetao,thetao,sea_water_potential_temperature,Sea Water Potential Temperature,ocean,K
hght,zgClim,geopotential_height,Geopotential Height,atmos,m
pop,pop,mole_concentration_of_particulate_organic_matter_expressed_as_phosphorus_in_sea_water,Particulate Organic Phosphorus Concentration,ocean_biochem,mol m-3
clhcalipso,clhcalipso,cloud_area_fraction_in_atmosphere_layer,CALIPSO High Level Cloud Fraction,atmos,%
hfls,hfls,surface_upward_latent_heat_flux,Surface Upward Latent Heat Flux,atmos,W m-2
lwup_sfc,rlusClim,surface_upwelling_longwave_flux_in_air,Surface Upwelling Longwave Radiation,atmos,W m-2
pop,pop,mole_concentration_of_particulate_organic_matter_expressed_as_phosphorus_in_sea_water,Particulate Organic Phosphorus Concentration at Surface,ocean_biochem,mol m-3	
co2_dvmr,co2,mole_fraction_of_carbon_dioxide_in_air,Mole Fraction of CO2,atmos,1e-6
fbddtdisi,fbddtdisi,tendency_of_ocean_mole_content_of_dissolved_inorganic_silicon_due_to_biological_processes,Rate of Change of Dissolved Inorganic Silicate due to Biological Activity,ocean_biochem,mol m-2 s-1
bddtdife,bddtdife,tendency_of_mole_concentration_of_dissolved_inorganic_iron_in_sea_water_due_to_biological_processes,Rate of Change of Dissolved Inorganic Iron due to Biological Activity,ocean_biochem,mol m-3 s-1
sconcdust,sconcdust,mass_concentration_of_dust_dry_aerosol_in_air,Surface Concentration of Dust,atmos,kg m-3
hfibthermds,hfibthermds,heat_flux_into_sea_water_due_to_iceberg_thermodynamics,Heat Flux into Sea Water due to Iceberg Thermodynamics,ocean,W m-2
tx_trans,umo,ocean_mass_x_transport,Ocean Mass X Transport,ocean,kg s-1
volcello,volcello,ocean_volume,Ocean Grid-Cell Volume,ocean,m-3
chldiaz,chldiaz,mass_concentration_of_diazotrophs_expressed_as_chlorophyll_in_sea_water,Mass Concentration of Diazotrophs expressed as Chlorophyll in Sea Water at Surface,ocean_biochem,kg m-3
chlmisc,chlmisc,mass_concentration_of_miscellaneous_phytoplankton_expressed_as_chlorophyll_in_sea_water,Other Phytoplankton Chlorophyll Mass Concentration at Surface,ocean_biochem,kg m-3
clw,clwClim,mass_fraction_of_cloud_liquid_water_in_air,Mass Fraction of Cloud Liquid Water,atmos,1
hfy,hfy,ocean_heat_y_transport,Ocean Heat Y Transport,ocean,W
lwdn_sfc_clr,rldscs,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,Surface Downwelling Clear-Sky Longwave Radiation,atmos,W m-2
diff_cbt_t,difvho,ocean_vertical_heat_diffusivity,Ocean Vertical Heat Diffusivity,ocean,m2 s-1
masscello,masscello,sea_water_mass_per_unit_area,Sea Water Mass Per Unit Area,ocean,kg m-2
tnhusd,tnhusd,tendency_of_specific_humidity_due_to_diffusion,Tendency of Specific Humidity due to Diffusion,atmos,s-1
"reffclwc
",reffclwc,effective_radius_of_convective_cloud_liquid_water_particle,Convective Cloud Droplet Effective Radius,atmos,m
sit,sit,sea_ice_thickness,Sea Ice Thickness,ocean & ice,m
wap,wap,lagrangian_tendency_of_air_pressure,wap,atmos,Pa s-1
bc_ddep,drybc,tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of Black Carbon Aerosol Mass,aerosol,kg m-2 s-1
Kd_itidal_z,difvtrto,ocean_vertical_tracer_diffusivity_due_to_tides,Ocean Vertical Tracer Diffusivity due to Tides,ocean,m2 s-1
evap,evspsbl,water_evaporation_flux,Evaporation,ocean & ice,kg m-2 s-1
hcice,hcice,sea_ice_total_heat_content,Sea Ice Total Heat Content,ocean & ice,J
concss,concss,mass_concentration_of_seasalt_dry_aerosol_in_air,Concentration of Seasalt,aerosol,kg m-3
reffclws,reffclws,effective_radius_of_stratiform_cloud_liquid_water_particle,Stratiform Cloud Droplet Effective Radius,atmos,m
sfc_hflux_from_water_prec,hfrainds,temperature_flux_due_to_rainfall_expressed_as_heat_flux_into_sea_water,Temperature Flux due to Rainfall Expressed as Heat Flux into Sea Water,ocean,W m-2
slp,psl,air_pressure_at_sea_level,Sea Level Pressure,atmos,Pa
evspsblveg,evspsblvegClim,water_evaporation_flux_from_canopy,Evaporation from Canopy,land,kg m-2 s-1
residualFrac,residualFrac,area_fraction,Fraction of Grid Cell that is Land but Neither Vegetation-Covered nor Bare Soil,land,%
pastureFrac,pastureFrac,area_fraction,Anthropogenic Pasture Fraction,land,%
hblt_max,omldamax,ocean_mixed_layer_thickness_defined_by_mixing_scheme,Mean Daily Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme,ocean,m
rlussi,rlussi,surface_upwelling_longwave_flux_in_air,Upward Long Wave over Sea Ice,ocean & ice,W m-2
salt,so,sea_water_salinity,Sea Water Salinity,ocean,psu
phyc,phyc,mole_concentration_of_phytoplankton_expressed_as_carbon_in_sea_water,Phytoplankton Carbon Concentration,ocean_biochem,mol m-3
visc_cbu_tides,difvmto,ocean_vertical_momentum_diffusivity_due_to_tides,Ocean Vertical Momentum Diffusivity due to Tides,ocean,m2 s-1
rrvch4,ch4global,mole_fraction_of_methane_in_air,Global Mean Mole Fraction of CH4,atmosChem,1e-9
fbddtdife,fbddtdife,tendency_of_ocean_mole_content_of_dissolved_inorganic_iron_due_to_biological_processes,Rate of Change of Dissolved Inorganic Iron due to Biological Activity,ocean_biochem,mol m-2 s-1
hfnorthba,hfynorthba,northward_ocean_heat_transport_due_to_bolus_advection,Northward Ocean Heat Transport due to Bolus Advection,ocean,W
concno3,concno3,mass_concentration_ of_nitrate_dry_aerosol_in_air,Concentration of NO3 Aerosol,aerosol,kg m-3
intpbsi,intpbsi,tendency_of_ocean_mole_content_of_silicon_due_to_biological_production,Silica Production,ocean_biochem,mol m-2 s-1
swflx,rsntds,net_downward_shortwave_flux_at_sea_water_surface,Net Downward Shortwave Radiation at Sea Water Surface,ocean,W m-2
gridspec,gridspec,[gridspec_ocnBgchem],Gridspec,ocean_biochem,
zo2min,zo2min,depth_at_shallowest_local_minimum_in_vertical_profile_of_mole_concentration_of_molecular_oxygen_in_sea_water,Depth of Oxygen Minimum Concentration,ocean_biochem,m
rlncs,rlncs,net_upward_longwave_flux_in_air_assuming_clear_sky,"Net Upwelling Clear-Sky Longwave Radiation
",atmos,W m-2
evap,evspsblClim,water_evaporation_flux,Evaporation,ocean & ice,kg m-2 s-1
fbddtalk,fbddtalk,integral_wrt_depth_of_tendency_of_sea_water_alkalinity_expressed_as_mole_equivalent_due_to_biological_processes,Rate of Change of Biological Alkalinity due to Biological Activity,ocean_biochem,mol m-2 s-1
reff_lsclliq,reffclws,effective_radius_of_stratiform_cloud_liquid_water_particle,Hydrometeor Effective Radius of Stratiform Cloud Liquid Water,atmos,m
bmelt,bmelt,rate_of_melt_at_sea_ice_base,Rate of Melt at Sea Ice Base,ocean & ice,kg m-2 s-1
agm,diftrblo,ocean_tracer_bolus_laplacian_diffusivity,Ocean Tracer Bolus Laplacian Diffusivity,ocean,m2 s-1
precip,prClim,precipitation_flux,Precipitation,atmos,kg m-2 s-1
evap_heat,hfls,surface_downward_latent_heat_flux,Surface Downward Latent Heat Flux,ocean,W m-2
transix,transix,sea_ice_x_transport,Eastward Sea Ice Transport,ocean & ice,kg s-1
cl,clClim,cloud_area_fraction_in_atmosphere_layer,Cloud Area Fraction,atmos,%
divice,divice,??,Strain Rate Divergence of Sea Ice,ocean & ice,s-1
grCongel,grCongel,tendency_of_sea_ice_amount_due_to_congelation_ice_accumulation,Congelation Sea Ice Growth Rate,ocean & ice,kg m-2 s-1
sconcoa,sconcoa,mass_concentration_of_particulate_organic_matter_dry_aerosol_in_air,Surface Concentration of Dry Aerosol Organic Matter,aerosol,kg m-3
rGrowth,rGrowth,surface_upward_carbon_mass_flux_due_to_plant_respiration_for_biomass_growth,Carbon Mass Flux into Atmosphere due to Growth Autotrophic Respiration on Land,land,kg m-2 s-1
grassFrac,grassFrac,area_fraction,Natural Grass Fraction,land,%
fco2fos,fco2fos,tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fossil_fuel_combustion,Carbon Mass Flux into Atmosphere Due to Fossil Fuel Emissions of CO2,atmos,kg m-2 s-1
swup_toa_clr,rsutcs,toa_outgoing_shortwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Shortwave Radiation,atmos,W m-2
sblsi,sblsi,surface_snow_and_ice_sublimation_flux,Sublimation over Sea Ice,ocean & ice,kg m-2
vsi,vsi,northward_sea_ice_velocity,Northward Sea Ice Velocity,seaIce & ocean,m s-1
shflx,hfss,surface_upward_sensible_heat_flux,Surface Upward Sensible Heat Flux,atmos,W m-2
power_diss_tides,tnpeot,tendency_of_ocean_potential_energy_content_due_to_tides,Tendency of Ocean Potential Energy Content due to Tides,ocean,W m-2
phyfe,phyfe,mole_concentration_of_phytoplankton_expressed_as_iron_in_sea_water,Phytoplankton Iron Concentration at Surface,ocean_biochem,mol m-3
lwdn_sfc_clr,rldscsClim,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,Downwelling Surface Clear-Sky Longwave,atmos,W m-2
pot_rho_0,rhopoto,sea_water_potential_density,Sea Water Potential Density,ocean,kg m-3
ssalt_emis,emiss,tendency_of_atmosphere_mass_content_of_seasalt_dry_aerosol_due_to_emission,Total Emission Rate of Seasalt,aerosol,kg m-2 s-1
fbddtdip,fbddtdip,tendency_of_ocean_mole_content_of_dissolved_inorganic_phosphorus_due_to_biological_processes,Rate of Change of Dissolved Inorganic Phosphate due to Biological Activity,ocean_biochem,mol m-2 s-1
tau_y,tauvo,surface_downward_y_stress,Surface Downward Y Stress,ocean & ice,N m-2
ra,ra,plant_respiration_carbon_flux,Carbon Mass Flux into Atmosphere due to Autotrophic (Plant) Respiration on Land,land,kg m-2 s-1
clcalipso2_sat,clcalipso2,cloud_area_fraction_in_atmosphere_layer,CALIPSO Cloud Fraction Undetected by CloudSat,atmos,%
aiso_lap,difmxylo,ocean_momentum_xy_laplacian_diffusivity,Ocean Momentum XY Laplacian Diffusivity,ocean,m2 s-1
pbp,pbp,tendency_of_mole_concentration_of_phosphorus_in_sea_water_due_to_biological_production,Biogenic Phosphorus Production,ocean_biochem,mol m-3 s-1
tot_h2o,h2o,mass_fraction_of_water_in_air,Mass Fraction of Water,aerosol,1
tntc,tntc,tendency_of_air_temperature_due_to_convection,Tendency of Air Temperature due to Moist Convection,atmos,K s-1
phydiat,phydiat,mole_concentration_of_diatoms_expressed_as_carbon_in_sea_water,Mole Concentration of Diatoms expressed as Carbon in Sea Water at Surface,ocean_biochem,mol m-3
DMS_wet_dep,wetdms,tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_wet_deposition,Wet Deposition Rate of DMS,aerosol,kg m-2 s-1
ssalt_wet_dep,wetss,tendency_of_atmosphere_mass_content_of_seasalt_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of Seasalt,aerosol,kg m-2 s-1
Heat_PmE,hfrainds,temperature_flux_due_to_rainfall_expressed_as_heat_flux_into_sea_water,Temperature Flux due to Rainfall Expressed as Heat Flux into Sea Water,ocean,W m-2
ucomp,uaClim,eastward_wind,Eastward Wind,atmos,m s-1
sftgif,sftgif,land_ice_area_fraction,Fraction of Grid Cell Covered with Glacier,land,%
vcomp,va,northward_wind,Northward Wind,atmos,m s-1
cProduct,cProduct,carbon_content_of_products_of_anthropogenic_land_use_change,Carbon Mass in Products of Land Use Change,land,kg m-2
u_ref,uas,eastward_wind,Eastward Near-Surface Wind,aerosol,m s-1
intpbfe,intpbfe,tendency_of_ocean_mole_content_of_iron_due_to_biological_production,Iron Production,ocean_biochem,mol m-2 s-1
tnhusc,tnhusc,tendency_of_specific_humidity_due_to_convection,Tendency of Specific Humidity due to Convection,atmos,s-1
mc,mc,atmosphere_net_upward_convective_mass_flux,Convective Mass Flux,atmos,kg m-2 s-1
intpn2,intpn2,tendency_of_ocean_mole_content_of_elemental_nitrogen_due_to_fixation,Nitrogen Fixation Rate in Ocean,ocean_biochem,mol m-2 s-1
ctpisccp,pctisccp,air_pressure_at_cloud_top,ISCCP Mean Cloud Top Pressure,atmos,Pa
calving_melt_heat,hfibthermds,heat_flux_into_sea_water_due_to_iceberg_thermodynamics,Heat Flux into Sea Water due to Iceberg Thermodynamics,ocean,W m-2
intpdiaz,intpdiaz,net_primary_mole_productivity_of_carbon_by_diazotrophs,Net Primary Mole Productivity of Carbon by Diazotrophs,ocean_biochem,mol m-2 s-1
exparag,exparag,sinking_mole_flux_of_aragonite_expressed_as_carbon_in_sea_water,Sinking Aragonite Flux,ocean_biochem,mol m-2 s-1
fsn,fsn,tendency_of_ocean_mole_content_of_elemental_nitrogen_due_to_deposition_and_fixation_and_runoff,Surface Downward Net Flux of Nitrogen,ocean_biochem,mol m-2 s-1
dfe,dfe,mole_concentration_of_dissolved_iron_in_sea_water,Dissolved Iron Concentration,ocean_biochem,mol m-3
cfadDbze94,cfadDbze94,histogram_of_equivalent_reflectivity_factor_over_height_above_reference_ellipsoid,CloudSat Radar Reflectivity CFAD,atmos,1
dissic,dissic,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,Dissolved Inorganic Carbon Concentration,ocean_biochem,mol m-3
ua,ua,eastward_wind,Eastward Wind,atmos,m s-1
clhcalipso_sat,clhcalipso,cloud_area_fraction_in_atmosphere_layer,CALIPSO High Level Cloud Fraction,atmos,%
qo3v,tro3,mole_fraction_of_ozone_in_air,Mole Fraction of O3,atmos,1e-9
om_emis_col,emibb,tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_emission,Total Emission of Primary Aerosol from Biomass Burning,aerosol,kg m-2 s-1
clwc,clwc,mass_fraction_of_convective_cloud_liquid_water_in_air,Mass Fraction of Convective Cloud Liquid Water,atmos,1
dust_ddep,drydust,tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of Dust,aerosol,kg m-2 s-1
deptho,deptho,sea_floor_depth_below_geoid,Sea Floor Depth,ocean,m
tnhusscpbl2,tnhusscpbl,tendency_of_specific_humidity_due_to_stratiform_cloud_and_precipitation_and_boundary_layer_mixing,Tendency of Specific Humidity due to Stratiform Cloud Condensation and Evaporation,atmos,s-1
fprec_melt_heat,hfsnthermds,heat_flux_into_sea_water_due_to_snow_thermodynamics,Heat Flux into Sea Water due to Snow Thermodynamics,ocean,W m-2
o2,o2,mole_concentration_of_molecular_oxygen_in_sea_water,Dissolved Oxygen Concentration,ocean_biochem,mol m-3
z,zfull,height_above_reference_ellipsoid,Altitude of Model Full-Levels,atmos,m
mrlsl,mrlsl,moisture_content_of_soil_layer,Water Content of Soil Layer,land,kg m-2
tntmp,tntmp,tendency_of_air_temperature_due_to_model_physics,Tendency of Air Temperature due to Diabatic Processes,atmos,K s-1
ta700,ta700,air_temperature,"Air Temperature
",atmos,K
v_ref,vas,northward_wind,Northward Near-Surface Wind,aerosol,m s-1
rln,rln,net_upward_longwave_flux_in_air,Net Upward Longwave Radiation,atmos,W m-2
rh_ref_cmip,hurs,relative_humidity,Near-Surface Relative Humidity,atmos,%
clic,clic,mass_fraction_of_convective_cloud_ice_in_air,Mass Fraction of Convective Cloud Ice,atmos,1
cSoilSlow,cSoilSlow,slow_soil_pool_carbon_content,Carbon Mass in Slow Soil Pool,land,kg m-2
tossq,tossq,square_of_sea_surface_temperature,Square of Sea Surface Temperature,ocean,K2
clcalipso2,clcalipso,cloud_area_fraction_in_atmosphere_layer,CALIPSO Cloud Fraction,atmos,%
difvso,difvso,ocean_vertical_salt_diffusivity,Ocean Vertical Salt Diffusivity,ocean,m2 s-1
fddtdip,fddtdip,tendency_of_ocean_mole_content_of_dissolved_inorganic_phosphorus,Rate of Change of Net Dissolved Inorganic Phosphate,ocean_biochem,mol m-2 s-1
expc,expc,sinking_mole_flux_of_particulate_organic_matter_expressed_as_carbon_in_sea_water,Sinking Particulate Organic Carbon Flux,ocean_biochem,mol m-2 s-1
albisccp,albisccp,cloud_albedo,ISCCP Mean Cloud Albedo,atmos,1
fl_lsrain,prlsprof,large_scale_rainfall_flux,Stratiform Rainfall Flux,atmos,kg m-2 s-1
darag,darag,tendency_of_mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water_due_to_dissolution,Aragonite Dissolution,ocean_biochem,mol m-3 s-1
cropFrac,cropFrac,area_fraction,Crop Fraction,land,%
physi,physi,mole_concentration_of_phytoplankton_expressed_as_silicon_in_sea_water,Phytoplankton Silica Concentration,ocean_biochem,mol m-3
